infinitiveVerb,pastVerb,pastParticipleVerb,particle,infinitiveEs,pastParticipleEs,progressiveEs,presentHeEs,pastIEs,pastWeEs,separable,isTransitive,isDitransitive
break,broke,broken,down,descomponer,descompuesto,descomponiendo,descompone,descompuse,descompusimos,0,0,0
bring,brought,brought,up,mencionar,mencionado,mencionando,menciona,mencioné,mencionamos,0,0,0
back,backed,backed,down,retroceder,retrocedido,retrocediendo,retrocede,retrocedí,retrocedimos,,,
blow,blew,blown,up,explotar,explotado,explotando,explota,exploté,explotamos
